Player,Team,G,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK
Isaiah Evans,DUKE,10,25.5,12.2,3.8,9.8,0.388,2.2,6.8,0.324,2.4,2.7,0.889,0.5,2.8,3.3,1.6,0.5,1.2
"Patrick Ngongba, Jr.",DUKE,10,24,11.9,4.2,6.4,0.656,0.4,1.5,0.267,3.1,4.3,0.721,2.2,4.1,6.3,2.3,0.4,1.6
Ian Jackson,STJ,9,19.1,11.7,4.1,9,0.457,1.4,4.6,0.317,2,2.3,0.857,0.6,2.2,2.8,1.2,0.6,0.1
Milos Uzan,U of H,11,32.6,11.2,4,11.3,0.355,1.5,6.1,0.254,1.6,1.8,0.9,0.5,2.6,3.2,5.1,1,0
Derrion Reid,OKLA,10,25.4,11,3.6,8.1,0.444,1,3.3,0.303,2.8,3.4,0.824,0.8,2.8,3.6,1.2,0.5,0.5
Karim Lopez,NZB,18,23.7,10.9,4.2,8.6,0.494,1.3,3.3,0.39,1.2,1.5,0.778,1.8,4.3,6.1,1.8,1,0.9
Miles Byrd,SDSU,8,27.9,10.6,3.8,8.5,0.441,1.8,4.8,0.368,1.4,1.8,0.786,0.4,3,3.4,2.8,1.5,0.6
Aday Mara,MICH,10,22.4,10.4,4.5,7,0.643,0,0.4,0,1.4,3.2,0.438,1.9,6.4,8.3,2,0.3,2.7
Motiejus Krivas,ARZ,9,24.3,10.2,4.1,6.8,0.607,0.1,0.3,0.333,1.9,2.8,0.68,3.8,4.8,8.6,1.6,0.3,1.6
Tomislav Ivisic,ILL,8,23.9,10,3.8,7.1,0.526,1.4,4.1,0.333,1.1,1.8,0.643,1.5,3.3,4.8,1.4,0.4,0.6
Moustapha Thiam,CINCY,10,25.9,9.9,4,7.6,0.526,0.2,1.4,0.143,1.7,3.5,0.486,1.9,5.4,7.3,0.4,1.3,2
Karter Knox,ARK,9,23.9,9.7,3.3,7.1,0.469,1.6,2.9,0.538,1.4,1.9,0.765,1.3,4.2,5.6,1.4,1.1,0.6
Mackenzie Mgbako,TAMU,5,17.8,9.6,2.8,7.4,0.378,2,5.2,0.385,2,2,1,1,2.4,3.4,0.8,0.2,0.2
Magoon Gwath,SDSU,6,19,9.5,3.3,6.5,0.513,0.7,1.5,0.444,2.2,3,0.722,1.7,3,4.7,0,1.2,1.7
"Chris Cenac, Jr.",U of H,11,23.2,9.5,4,8.2,0.489,0.6,1.8,0.35,0.8,1.5,0.563,2,5.5,7.5,0.6,0.5,0.6
Braylon Mullins,UConn,5,17.2,9,3.6,7.8,0.462,1.2,4.2,0.286,0.6,0.6,1,1.2,1.6,2.8,0.8,0.4,0
Zvonimir Ivisic,ILL,11,17.5,7.9,2.9,5.2,0.561,1.2,3.2,0.371,0.9,1.4,0.667,0.9,4.2,5.1,0.4,0.4,2.2
Sergio De Larrea,VAL,19,15.3,7.8,2.3,5,0.463,1.1,2.2,0.5,2.1,2.6,0.8,0.8,1.3,2.1,3.3,0.4,0.1
Joseph Tugler,U of H,11,22.2,7.4,3.2,6.5,0.493,0.1,0.1,1,0.9,1.4,0.667,2.3,2.7,5,1.5,1.7,2.1
Nikolas Khamenia,DUKE,10,21.7,6.6,2.2,4.7,0.468,1.3,3.2,0.406,0.9,1.6,0.563,1.5,2.9,4.4,1.9,0.3,0
Dame Sarr,DUKE,10,20.5,6.4,2.1,5,0.42,1.1,3.1,0.355,1.1,2.2,0.5,0.7,3,3.7,0.9,1.5,0.2
Dash Daniels,MEL,21,15.4,5.1,2,4.5,0.453,0.6,1.5,0.406,0.4,0.9,0.421,0.8,1.7,2.4,1,0.8,0.2
Ognjen Srzentic,MEG,10,17.9,4.7,1.5,4.2,0.357,0.2,1.8,0.111,1.5,2.6,0.577,1.4,3.4,4.8,1.5,1.1,0.3
Kam Williams,UK,11,18.4,4.6,1.8,4.5,0.408,0.6,3,0.212,0.4,0.4,1,1,2.4,3.4,1.2,0.5,0.5
Andrej Kostic,KSU,8,10.4,4,1.4,4,0.344,0.8,2.5,0.3,0.5,0.6,0.8,1.1,1,2.1,1.1,0.3,0.1
